Expanded Count: 960
Right Bank:  chickens: 72, wolves: 70, boat: 1
Left Bank:  chickens: 29, wolves: 26, boat: 1
Right Bank:  chickens: 70, wolves: 70, boat: 0
Left Bank:  chickens: 28, wolves: 26, boat: 0
Right Bank:  chickens: 71, wolves: 70, boat: 1
Left Bank:  chickens: 29, wolves: 27, boat: 1
Right Bank:  chickens: 70, wolves: 69, boat: 0
Left Bank:  chickens: 28, wolves: 27, boat: 0
Right Bank:  chickens: 71, wolves: 69, boat: 1
Left Bank:  chickens: 30, wolves: 27, boat: 1
Right Bank:  chickens: 69, wolves: 69, boat: 0
Left Bank:  chickens: 29, wolves: 27, boat: 0
Right Bank:  chickens: 70, wolves: 69, boat: 1
Left Bank:  chickens: 30, wolves: 28, boat: 1
Right Bank:  chickens: 69, wolves: 68, boat: 0
Left Bank:  chickens: 29, wolves: 28, boat: 0
Right Bank:  chickens: 70, wolves: 68, boat: 1
Left Bank:  chickens: 31, wolves: 28, boat: 1
Right Bank:  chickens: 68, wolves: 68, boat: 0
Left Bank:  chickens: 30, wolves: 28, boat: 0
Right Bank:  chickens: 69, wolves: 68, boat: 1
Left Bank:  chickens: 31, wolves: 29, boat: 1
Right Bank:  chickens: 68, wolves: 67, boat: 0
Left Bank:  chickens: 30, wolves: 29, boat: 0
Right Bank:  chickens: 69, wolves: 67, boat: 1
Left Bank:  chickens: 32, wolves: 29, boat: 1
Right Bank:  chickens: 67, wolves: 67, boat: 0
Left Bank:  chickens: 31, wolves: 29, boat: 0
Right Bank:  chickens: 68, wolves: 67, boat: 1
Left Bank:  chickens: 32, wolves: 30, boat: 1
Right Bank:  chickens: 67, wolves: 66, boat: 0
Left Bank:  chickens: 31, wolves: 30, boat: 0
Right Bank:  chickens: 68, wolves: 66, boat: 1
Left Bank:  chickens: 33, wolves: 30, boat: 1
Right Bank:  chickens: 66, wolves: 66, boat: 0
Left Bank:  chickens: 32, wolves: 30, boat: 0
Right Bank:  chickens: 67, wolves: 66, boat: 1
Left Bank:  chickens: 33, wolves: 31, boat: 1
Right Bank:  chickens: 66, wolves: 65, boat: 0
Left Bank:  chickens: 32, wolves: 31, boat: 0
Right Bank:  chickens: 67, wolves: 65, boat: 1
Left Bank:  chickens: 34, wolves: 31, boat: 1
